LineId,Content,EventId,EventTemplate
51,Aircraft is now following you.,E185,E185
52,Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,E75,E75
53,Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,E75,E75
54,Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,E75,E75
55,Aircraft is returning to the Home Point. Minimum RTH Altitude is 98ft. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,E75,E75
56,Aircraft is returning to the Home Point. RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,E75,E75
57,Aircraft is returning to the Home Point. RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary,E75,E75
58,Aircraft is returning to the starting point,E119,E119
59,"Aircraft is tilted, please keep the aircraft stationary and level before flight",E23,E23
60,Aircraft is too far away,E59,E59
61,"Aircraft max power load reached. Decrease altitude and fly with caution. If this issue persists, land immediately",E207,E207
62,Aircraft not in flight. Vision system and obstacle sensing unavailable,E177,E177
63,Aircraft not linked to phone number. Flight range restricted. Check and link phone number,E158,E158
64,Aircraft out of Range,E59,E59
65,Aircraft pitch angle too large. Ensure aircraft is level before taking off,E23,E23
66,Aircraft power insufficient. Fly with caution,E338,E338
67,Aircraft processor chip overheated. Power off aircraft and wait for temperature to return to normal,E54,E54
68,Aircraft processor overheated. Automatically returning to home,E54,E54
69,Aircraft propulsion system error. Forced landing. Manually control the aircraft and land in an open area,E233,E233
70,Aircraft settings updated to comply with national regulations,E244,E244
71,Aircraft switched to ATTI mode,E167,E167
72,Aircraft takeoff altitude error. Restart aircraft,E310,E310
73,Aircraft too Far. Cannot enter Follow Me Mode,E67,E67
74,Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually,E275,E275
75,Aircraft will automatically descend in nnn,E21,E21
76,"Aircraft will not enter S-mode if powered on with the remote controller set to S-mode. Please switch to Normal mode, then back to S-mode to enable it",E313,E313
77,Altitude Less than nnn. Cannot enable Follow Me Mode,E321,E321
78,Altitude Zone nnn,E104,E104
79,Altitude above the takeoff point exceeds nnn. Always fly in compliance with altitude limitations,E303,E303
80,Ambient Light is too weak.,E83,E83
81,Ambient Light too Weak,E83,E83
82,"Ambient Light too Weak, Backward obstacle sensing is unavailable. please ensure safety during the flight",E41,E41
83,"Ambient Light too Weak, Forward obstacle sensing is unavailable. please ensure safety during the flight",E41,E41
84,"Ambient Light too Weak, Vision Positioning obstacle sensing is unavailable. please ensure safety during the flight",E41,E41
85,Ambient light too low. Vision system and obstacle sensing unavailable. Fly with caution,E41,E41
86,"Another aircraft is dangerously close, please descend to a safer altitude",E10,E10
87,Another aircraft is nearby. Another aircraft is approaching. Descend as soon as possible,E10,E10
88,Another aircraft is nearby. Fly with caution,E10,E10
89,Approaching NFZ or pre-set distance limit of (nnn). Revise Flight Route,E201,E201
90,Approaching a No-Fly Zone. RTH may be affected. Fly with caution,E68,E68
91,Arrived at End Point,E162,E162
92,Arrived at Start Point. Starting Waypoint Mission,E2,E2
93,Arrived at destination,E251,E251
94,At Least Two Waypoints Required,E210,E210
95,At least two Waypoints are needed,E210,E210
96,Attitude is too large.,E37,E37
97,Attitude is too large. Backward Obstacle Sensing is not functioning,E37,E37
98,Attitude is too large. Backward obstacle sensing is unavailable,E37,E37
99,Attitude is too large. Forward obstacle sensing is unavailable,E37,E37
100,Attitude is too large. Backward Obstacle Sensing is not functioning.,E37,E37
101,Auto Landing in nnn(s),E21,E21
102,Auto landing initiated,E223,E223
103,Auxiliary Bottom Light set to automatic mode,E319,E319
104,Auxiliary Bottom Light turned off,E320,E320
105,Auxiliary Bottom Light turned on,E63,E63
106,Away and Follow in progress.,E148,E148
107,Backward Obstacle Sensing is not functioning.,E117,E117
108,Backward Obstacle Sensing is not functioning. Ambient Light is too weak,E117,E117
109,Backward ambient light too low. Backward obstacle avoidance unavailable. Only infrared sensors available. Fly with caution,E41,E41
110,Backward sensor(s) blocked. Obstacle avoidance unavailable. Fly with caution,E231,E231
111,Barometer Dead in Air,E240,E240
112,Barometer initialization failed. Restart aircraft,E304,E304
113,Battery Alert Battery installation error. Please check the batteries are inserted correctly,E299,E299
114,Battery Signal Error. Check battery connection.,E125,E125
115,Battery Voltage Difference too large. Check Battery Status,E203,E203
116,"Battery cell broken, please replace the battery",E300,E300
117,Battery cells undervoltage,E264,E264
118,"Battery communication malfunction. Reinstall battery. If the issue persists, replace battery",E301,E301
119,Battery error. Aircraft returning to home automatically,E52,E52
120,Battery installed incorrectly. Detach battery and reinstall it,E29,E29
121,Battery level low. Charge battery,E12,E12
122,Battery nnn requires maintenance,E249,E249
123,Battery not installed properly. Return to home immediately. Check and re-install battery,E29,E29
124,Battery overheating. Stop flying and wait for battery temperature to return to normal,E294,E294
125,Battery power limit will automatically reduce the aircraft's mobility to ensure flight safety,E57,E57
126,Battery power low. Check battery status and charge or warm up battery,E12,E12
127,Battery power restricted. Aircraft performance decreased to ensure flight safety. Return to home promptly,E57,E57
128,Battery temperature is below 15 degrees Celsius. Warm up the battery temperature to above 25 degree Celsius to ensure a safe flight.,E26,E26
129,Battery temperature too low. Fly with caution,E297,E297
130,Battery: Battery Error. Return home and land soon. View the checklist after landing,E52,E52
131,Battery: Connection Error,E125,E125
132,Battery: Low Voltage Protection,E314,E314
133,Battery: Overcurrent During Discharge,E161,E161
134,Braking now! No use to move the stick right. Avoid the obstacle,E15,E15
135,Braking now! Return sticks to midpoints first.,E15,E15
136,"Braking now. Return sticks to midpoints, then continue flying.",E15,E15
137,Cache Space Full,E150,E150
138,Calibration subject is too close. Recalibrate using a subject that is farther away,E196,E196
139,Calibration target not far away enough. Please calibrate using infinity,E142,E142
140,"Camera Error. Solution: Restart the aircraft, if the problem persists, contact DJI Support",E64,E64
141,Camera RCAM not connected. Image quality affected. Contact DJI Support for assistance,E325,E325
142,Camera Settings ActiveTrack Optimized,E96,E96
143,Camera Settings Adjusted,E96,E96
144,Camera Settings Adjusted to ActiveTrack,E96,E96
145,"Camera busy, cannot enter playback",E265,E265
146,Camera error. AI Spot-Check failed. Restart camera,E258,E258
147,Camera not calibrated. Image quality affected. Contact DJI Support for assistance,E77,E77
148,Camera sensor error Hardware malfunction: Contact DJI Support to arrange for repairs,E64,E64
149,Camera storage full,E216,E216
150,Cancel Landing Failed,E73,E73
151,Cancel Return-to-Home Failed,E193,E193
152,Cannot Enter TapFly Cannot fly in that direction,E256,E256
153,Cannot Identify Subject,E88,E88
154,Cannot Takeoff in Travel Mode. Exit Travel Mode.,E238,E238
155,Cannot Track Subject. Cannot Identify Subject,E88,E88
156,Cannot change current flight mode. Enable Multiple Flight Modes in Settings menu to change.,E9,E9
157,Cannot enable Intelligent Flight Mode: Low Battery,E53,E53
158,Cannot enter ActiveTrack. Ambient Light is too weak,E132,E132
159,Cannot enter TapFly Mode: Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,E4,E4
160,Cannot enter the selected flight mode. Try again later.,E9,E9
161,Cannot exit ActiveTrack,E312,E312
162,Cannot send ActiveTrack command,E47,E47
163,Cannot start Return to Home due to weak GPS signal,E58,E58
164,Cannot start Self-Timer. Exposure time is too long,E197,E197
165,"Cannot switch flight mode. Turn on ""Multiple Flight Modes"" to enable Atti and Sport Modes",E9,E9
166,"Cannot switch flight mode. Turn on ""Multiple Flight Modes"" to enable Atti and Sport Modes.",E9,E9
167,Cannot takeoff in a no-fly zone,E213,E213
168,Cannot takeoff. Ensure the aircraft battery is properly connected,E189,E189
169,Cannot track subject: Forward Obstacle Sensing not Responding,E117,E117
170,Cannot track subject: Gimbal Tilt too Large,E173,E173
171,Cannot track subject: No image. Please retry,E330,E330
172,Cannot track subject: Subject too Large. Move Away and retry,E291,E291
173,Cannot track subject: Subject too Small. Get Closer and retry,E20,E20
174,Capture Failed Cannot enter Pano mode,E257,E257
175,Capture Failed Shooting interrupted,E42,E42
176,Capture Failed Stick movement detected. Panorama has stopped,E204,E204
177,Capture Failed. Distance limit exceeded. Cannot shoot panorama,E327,E327
178,Capture Failed. Insufficient storage space. Cannot shoot panorama,E328,E328
179,Capture Failed. Shooting is currently not permitted,E308,E308
180,Capture Failed. The aircraft is moving. Cannot shoot panorama,E329,E329
181,Capture Failed. The gimbal is moving. Cannot shoot panorama,E81,E81
182,"Check whether propellers are installed correctly. If the propellers are installed correctly and the aircraft still cannot takeoff, a motor error may exist. Contact DJI Support for assistance",E8,E8
183,Check whether the propellers are attached to the correct motors based on their markings. Incorrect installation will cause the aircraft to roll over during takeoff,E8,E8
184,Color display in Liveview is enhanced. Videos and photos will still be shot in D-Log mode,E70,E70
185,Color display in the Liveview has been enhanced. Videos and photos will still be shot in D-Log mode,E70,E70
186,Command Failed,E46,E46
187,Command Timeout,E147,E147
188,Compass Error,E6,E6
189,Compass Error. Compass Error. Compass data error. Please contact DJI Support,E6,E6
190,Compass Error. Compass Error. Compass disconnected,E6,E6
191,Compass Error. Compass Redundancy Switch,E120,E120
192,Compass Error. Compass data error. Please check the Compass installation and interference,E6,E6
193,Compass Error. Compass data error. Please contact DJI Support,E6,E6
194,Compass Error. Compass data error. Please contact DJI Support. Compass disconnected,E6,E6
195,Compass Error. Compass direction is not the same with IMU,E69,E69
196,Compass Error. Compass disconnected,E6,E6
197,Compass Error. Compass error Solution: Move away from ground magnetic interference,E39,E39
198,Compass Error. Compass interference. Please move the aircraft away from potential interference source or calibrate the compass,E39,E39
199,Compass Error. Exit P-GPS Mode,E18,E18
200,Compass Error. Magnetic Field Interference. Exit P-GPS Mode,E18,E18
201,Compass Interference. Temp Max Altitude : 98ft,E180,E180
202,Compass Interference. Temp Max Altitude: nnn,E180,E180
203,Compass Redundancy Switch,E120,E120
204,Compass Stuck. Restart Aircraft. Contact DJI Support if this persists.,E278,E278
205,Compass abnormal Solution: 1. Ensure there are no magnets or metal objects near the aircraft. The ground or walls may contain metal. Move away from sources of interference before attempting flight. 2. Calibrate Compass Before Takeoff,E135,E135
206,Compass data error. Please contact DJI Support,E6,E6
207,Compass direction is not the same with IMU,E69,E69
208,Compass error Solution: Move away from ground magnetic interference,E39,E39
209,"Compass error, calibration required",E6,E6
210,Compass error. Ensure there are no metal or magnetic objects near the aircraft and calibrate it before use,E135,E135
211,Compass initialization failed. Restart aircraft,E311,E311
212,Compass interference. Please move the aircraft away from potential interference source or calibrate the compass,E39,E39
213,Correcting Landing Position,E38,E38
214,Critical Low Battery,E282,E282
215,Critical low battery voltage,E51,E51
216,Critical low battery. Aircraft in Auto Power Off Protection. Forced landing in progress,E282,E282
217,Critical low battery. Aircraft landing automatically,E282,E282
218,Critical low battery. Aircraft returning to home,E282,E282
219,Critical low battery. Recharge promptly,E282,E282
220,Critical low battery. Return to home or land promptly,E282,E282
221,Critical low battery. Unable to take off. Recharge promptly,E282,E282
222,Critically Low Power. Aircraft Landing,E13,E13
223,Critically Low Power. Aircraft Landing. Throttle up to reduce the speed of descent and use sticks to avoid obstacles,E13,E13
224,Critically Low Voltage Warning. Aircraft will be forced to land,E284,E284
225,"Critically Low Voltage Warning. Land as soon as possible, otherwise the battery will be damaged",E51,E51
226,Critically Low Voltage. Aircraft will land,E284,E284
227,Critically low power. Aircraft is landing,E13,E13
228,CrystalSky is too hot. Cool down the monitor to prevent overheating,E156,E156
229,Current RTH route will pass a No-Fly zone. Pay attention to the aircraft's position to avoid RTH failure.,E322,E322
230,Current elevation above nnn. Fly with caution,E232,E232
231,Data Recorder File Index is 12.,E50,E50
232,Data Recorder File Index is 13.,E50,E50
233,Data Recorder File Index is 15.,E50,E50
234,Data Recorder File Index is 17.,E50,E50
235,Data Recorder File Index is 18.,E50,E50
236,Data Recorder File Index is 19.,E50,E50
237,Data Recorder File Index is 2.,E50,E50
238,Data Recorder File Index is 21.,E50,E50
239,Data Recorder File Index is 29.,E50,E50
240,Data Recorder File Index is 3.,E50,E50
241,Data Recorder File Index is 30.,E50,E50
242,Data Recorder File Index is 4.,E50,E50
243,Data Recorder File Index is 45.,E50,E50
244,Data Recorder File Index is 46.,E50,E50
245,Data Recorder File Index is 5.,E50,E50
246,Data Recorder File Index is 57.,E50,E50
247,Data Recorder File Index is 65.,E50,E50
248,Data Recorder File Index is 7.,E50,E50
249,Data Recorder File Index is 8.,E50,E50
250,Descending. Exited Visual Avoidance System,E76,E76
251,Detecting subject,E217,E217
252,Disable SD card read and write protection or change card,E202,E202
253,Distance limit enabled. Fly safely,E22,E22
254,Downlink Lost.,E32,E32
255,Downlink Restored (after 0m 0.9s).,E133,E133
256,Downlink Restored (after 0m 1.1s).,E133,E133
257,Downlink Restored (after 0m 1.2s).,E133,E133
258,Downlink Restored (after 0m 1.4s).,E133,E133
259,Downlink Restored (after 0m 1.5s).,E133,E133
260,Downlink Restored (after 0m 1.6s).,E133,E133
261,Downlink Restored (after 0m 1.7s).,E133,E133
262,Downlink Restored (after 0m 11.3s).,E133,E133
263,Downlink Restored (after 0m 11s).,E133,E133
264,Downlink Restored (after 0m 1s).,E133,E133
265,Downlink Restored (after 0m 2.2s).,E133,E133
266,Downlink Restored (after 0m 2.3s).,E133,E133
267,Downlink Restored (after 0m 2.9s).,E133,E133
268,Downlink Restored (after 0m 5.6s).,E133,E133
269,Downlink Restored (after 0m 5.8s).,E133,E133
270,Downlink data connection lost for nnn seconds,E32,E32
271,Downward Obstacle Sensing is not functioning. Ambient Light is too weak,E117,E117
272,Downward altitude sensor data error. Please contact DJI Support for help,E112,E112
273,Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution,E41,E41
274,Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution. Backward ambient light too low. Backward obstacle avoidance unavailable. Only infrared sensors available. Fly with caution,E41,E41
275,Downward infrared sensor failure. Land as soon as possible,E184,E184
276,Downward sensor error. Aircraft unstable at low altitude. Please fly with caution,E112,E112
277,Downward vision sensor calibration error. Auto calibration in progress,E263,E263
278,Downward vision sensor error. Contact DJI Support for assistance,E124,E124
279,Drag a box around or tap a target on screen. Then tap Go.,E170,E170
280,Drone is Vibrating,E186,E186
281,"During Smart Track, you can control lens zoom within a certain limit",E166,E166
282,EMMC is full,E138,E138
283,Ensure control sticks are centered during takeoff,E172,E172
284,Entered Cruise Control mode. Press C1 or C2 to exit,E91,E91
285,Error: Course angle control error. Please ensure the propellers are installed on the correct motors,E260,E260
286,"Excessive attitude angle detected, forward obstacle avoidance has stopped working",E174,E174
287,Excessive gimbal vibration. Check whether gimbal can rotate freely,E40,E40
288,Executing waypoint mission,E2,E2
289,"Exit Backward Forward Downward Upward Sensing system, Ambient Light is too weak",E179,E179
290,Exited Cruise Control mode,E332,E332
291,Exited Hyperlapse mode,E157,E157
292,Exited Visual Avoidance System.,E76,E76
293,Exiting GPS mode: Unknown Error,E290,E290
294,Extended flight distance detected. Always maintain visual line of sight unless otherwise authorized,E55,E55
295,Extra payload detected. Flight performance will be affected. Fly with caution,E128,E128
296,Extra payload detected. Max altitude and distance set. Fly with caution,E118,E118
297,Extra payload detected. Max altitude set to nnn and max distance set to nnn to ensure flight safety,E118,E118
298,Extra payload detected. Return aircraft to an area nearby the home point promptly and fly in a wind-free environment to ensure flight safety,E127,E127
299,Extra payload detected. Return the aircraft to an area nearby the home point promptly to ensure flight safety,E127,E127
300,Failed to cancel Return to Home,E193,E193
301,Failed to cancel landing,E73,E73
302,Failed to lower or pack up landing gear. Take care of your gimbal when landing,E199,E199
303,Failed to take off. Check the USB connection with aircraft. Contact DJI Support if this error persists after restarting,E305,E305
304,File system error. Change SD card,E333,E333
305,Flight Mode Set to Attitude,E271,E271
306,Flight altitude exceeds nnn. Aircraft may be in violation of local laws and regulations. Check and make sure you have obtained proper authorization to fly in this airspace,E44,E44
307,Flight altitude exceeds nnn. May violate local policies and regulations. Ensure you have obtained proper airspace authorization,E44,E44
308,"Flight control mode error, cannot start recording QuickShot",E187,E187
309,Flight distance may exceed line-of-sight. Fly with caution,E316,E316
310,Flight height too low,E206,E206
311,Fly with caution and ensure the aircraft remains within your line of sight.,E281,E281
312,Fly with caution. Compass abnormal Solution: 1. Ensure there are no magnets or metal objects near the aircraft. The ground or walls may contain metal. Move away from sources of interference before,E135,E135
313,Forward Obstacle Sensing is not functioning.,E117,E117
314,Forward Obstacle Sensing is not functioning. Ambient Light is too weak,E117,E117
315,Forward Obstacle Sensing not Responding,E117,E117
316,Forward Obstacle Sensing not Working.,E117,E117
317,Forward vision sensor calibration error. Auto calibration in progress,E263,E263
318,Forward vision sensor error. Contact DJI Support for assistance,E124,E124
319,GEO Zone Info: The target area is in an Altitude Zone. Flight altitude restricted to nnn,E334,E334
320,GEO: You are in a Warning Zone (Airport Class Airspace Unpaved Airports Power Plant). Fly with caution,E242,E242
321,GPS Position Mismatch.,E190,E190
322,GPS module error. Restart aircraft,E45,E45
323,GPS signal low. Aircraft unable to auto hover and takeoff restricted. Move to environment with adequate light. Unlocking takeoff restrictions not recommended,E11,E11
324,GPS signal weak. Fly with caution. Aircraft in Altitude Zone. Max altitude set to nnn,E11,E11
325,GPS signal weak. Hovering unstable. Fly with caution,E11,E11
326,GPS signal weak. Positioning accuracy affected. Fly with caution,E11,E11
327,Gimbal IMU data error. Contact DJI Support for assistance,E298,E298
328,Gimbal Pitch Limit Reached.,E131,E131
329,Gimbal Pitch Reached Movement Limit,E131,E131
330,Gimbal Recenter,E89,E89
331,Gimbal Roll Limit Reached.,E108,E108
332,Gimbal Yaw Limit Reached,E212,E212
333,Gimbal calibrating,E143,E143
334,Gimbal calibration error. Restart aircraft or contact DJI Support if the issue persists,E28,E28
335,Gimbal motor overloaded. Check whether gimbal can rotate freely,E40,E40
336,Gimbal nnn pan axis endpoint reached,E62,E62
337,Gimbal nnn pitch axis endpoint reached,E62,E62
338,Gimbal nnn roll axis endpoint reached,E62,E62
339,Gimbal stuck. Check whether gimbal lock is removed and ensure gimbal can rotate freely,E254,E254
340,Ground Plain. Safe to Land.,E175,E175
341,Gyroscope initialization failed. Restart aircraft,E31,E31
342,High Wind Velocity: Fly with caution and ensure the aircraft remains within your line of sight,E60,E60
343,High altitude. Aircraft braking distance increased and flight time decreased. Fly with caution,E61,E61
344,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,E60,E60
345,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution. Downlink Lost.,E60,E60
346,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution. High wind velocity. Fly with caution and land in a safe place ASAP.,E60,E60
347,High wind velocity. Fly with caution and land in a safe place ASAP.,E60,E60
348,High wind velocity. Fly with caution.,E60,E60
349,"High-altitude flight, aircraft braking distance is extended, flight time is shortened. Fly with caution",E61,E61
350,"Home Point Recorded, Return-to-Home Altitude : 98FT",E129,E129
351,"Home Point Recorded, Return-to-Home Altitude : 98FT.",E129,E129
352,Home Point Recorded.,E7,E7
353,Home Point Recorded. RTH Altitude : 30m.,E324,E324
354,Home Point Recorded. Taking off.,E7,E7
355,Home Point Updated.,E279,E279
356,Home Point recorded. Return-to-Home Altitude : 98FT,E129,E129
357,Home Point recorded. Return-to-Home Altitude : 98FT.,E129,E129
358,Home Point updated. RTH altitude adjusted to nnn,E24,E24
359,IMU attitude restricted. Ensure aircraft is level,E214,E214
360,IMU calibration required. Calibrate IMU,E82,E82
361,IMU not calibrated. Calibrate IMU,E82,E82
362,IMU warming up. Wait before taking off,E149,E149
363,Image Transmission Recovered. Aircraft is returning home.,E268,E268
364,Image transmission signal lost,E228,E228
365,Impact detected. Aircraft stopped. Restart aircraft,E211,E211
366,Impact detected. Restart aircraft,E211,E211
367,In Flight.,E208,E208
368,Incompatible firmware version. Go to Profile > Settings to update firmware,E192,E192
369,Insufficient SD card space. Change card or delete files,E97,E97
370,Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,E315,E315
371,Landing Canceled.,E323,E323
372,Landing Gear Lowered.,E102,E102
373,Landing Gear Lowering.,E102,E102
374,Landing Gear Paused.,E247,E247
375,Landing Gear Raised.,E134,E134
376,Landing Gear Raising.,E134,E134
377,Landing Gear Raising. Home Point Recorded,E134,E134
378,Landing Protection Activated. Aircraft will decelerate during landing.,E245,E245
379,Landing gear function restored,E106,E106
380,Landing gear lowered. Obstacle Avoidance Disabled.,E1,E1
381,Landing gear lowered. Obstacle Avoidance has been disabled.,E1,E1
382,Landing.,E307,E307
383,Large Wind Velocity.,E234,E234
384,Large Wind Velocity. Fly with caution.,E60,E60
385,Lens not connected,E168,E168
386,Lighting environment too dark. Vision System unavailable. Fly with caution,E84,E84
387,Lighting environment too dark. Visual positioning inaccurate. Fly with caution,E84,E84
388,Live stream video frame rate less than 9Hz. Fly with caution,E262,E262
389,Loading database failed. Geo-awareness function degraded,E92,E92
390,Locating Landing Point,E38,E38
391,Low Power. Aircraft is returning to the Home Point.,E163,E163
392,Low Power. Returning home.,E163,E163
393,Low battery voltage. Fly with caution,E51,E51
394,Low battery. Recharge promptly,E12,E12
395,Low battery. Return to home promptly,E12,E12
396,"Low power, please replace the battery",E12,E12
397,Magnetic Filed Interference. Exit P-GPS Mode,E111,E111
398,Magnetic Filed Interference. Exit P-GPS Mode. Yaw Error.,E111,E111
399,Manned aircraft approaching. Fly at a safe altitude,E10,E10
400,Manned aircraft detected nearby. Fly with caution,E10,E10
401,Manned aircraft too close. Fly at a safe altitude,E10,E10
402,Max Altitude Approached. Wait for the GPS satellite signal recovery before ascend,E169,E169
403,Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,E4,E4
404,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,E4,E4
405,Max altitude reached (Altitude limit: nnn) ,E30,E30
406,Maximum Flight Altitude Reached.,E30,E30
407,Maximum Flight Altitude Reached. Adjust altitude in MC Settings if required.,E4,E4
408,Maximum Flight Distance Reached. Adjust distance in MC Settings if required.,E4,E4
409,Maximum flight distance reached. Adjust the distance in MC Settings if required.,E4,E4
410,Min Waypoint Distance: nnn,E222,E222
411,Mobile device CPU fully loaded. Related performance will be affected.,E248,E248
412,Mobile device version too old to support HD image transmission and the image transmission mode has been switch to normal mode.,E230,E230
413,Motor Obstructed. Propulsion output is limited to ensure the health of the battery,E56,E56
414,Motor error. Check propellers and fly with caution,E280,E280
415,Motor idle. Check whether propellers are installed,E103,E103
416,Motor is Blocked,E25,E25
417,Motor is Blocked. Motor stuck. Check for objects blocking motor or contact DJI Support for assistance,E25,E25
418,Motor is idling (lost or missing propeller),E103,E103
419,Motor nnn propeller detached or installed incorrectly,E243,E243
420,Motor nnn stalled. Land aircraft immediately,E79,E79
421,Motor or propeller error. Check the motors and propellers.,E280,E280
422,"Motor speed error. Land or return to home promptly. After powering off the aircraft, replace the propeller on the beeping ESC. If the issue persists, contact DJI Support",E306,E306
423,Motor stuck. Check for objects blocking motor or contact DJI Support for assistance ,E25,E25
424,Motor unable to rotate. Check for objects blocking motor or contact DJI Support for assistance ,E107,E107
425,Motor unable to rotate. Check motor,E107,E107
426,Motors Started.,E205,E205
427,Navigation system error. Restart aircraft,E45,E45
428,No GPS signal. Aircraft unable to hover. Fly with caution,E276,E276
429,No GPS signal. Unable to hover. Fly with caution,E276,E276
430,No GPS signal. Unable to take off. Move to an open area or exit flight tutorial,E276,E276
431,No GPS. Return to Home failed. Return the aircraft to home manually,E276,E276
432,No SD card. Insert card,E93,E93
433,Not Allowed to change Aircraft Mode. If needed,E48,E48
434,"Not Allowed to change Aircraft Mode. If needed, enable it in Main Controller Settings",E48,E48
435,Not Enough Force/ESC Error,E139,E139
436,Object too close to laser rangefinder,E165,E165
437,Object too far for laser rangefinder,E337,E337
438,Obstacle Avoidance Disabled.,E1,E1
439,Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,E1,E1
440,Obstacle Avoidance disabled. Fly with caution,E1,E1
441,Obstacle Avoidance disabled. Landing gear lowered. Obstacle Avoidance has been disabled.,E1,E1
442,Obstacle Avoidance will be disabled in landing.,E1,E1
443,Obstacle Avoided. Revise Flight Route,E246,E246
444,Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,E272,E272
445,Obstacle sensing not available at night. Adjust RTH altitude to above tallest surrounding building before flying,E198,E198
446,PalmControl in Process,E116,E116
